comment_id,texto_original,texto_norm,texto_limpio,n_urls,n_hashtags,n_menciones,n_emojis,n_tokens
Ugw-J65a1iYL9hqhELh4AaABAg,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,corrupto amigo viejo fiscal verbo carcel,0,0,0,0,6
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",están jóvenes porque no buscan un trabajo tuvieron suerte que no hay policías que le gusta del otro vando por ir vestido de mujer se los hubieran ensamblado la maquinaria,joven buscar trabajo suerte policia gustar vando vestido mujer ensamblado maquinaria,0,0,0,0,11
Ugw0xaOb2CYXXoudtwJ4AaABAg,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales esto no es una maquila,dejar gana demandar ilegalidad reunion virtual maquila,0,0,0,0,7
Ugw0xgUc2ISpBr5_T654AaABAg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,veremos a este mafioso de mazariegos en la cárcel y un buen tiempo en la sombra,ver mafioso mazariego carcel buen tiempo sombra,0,0,0,0,7
Ugw1ZzA21njWhaqQQTh4AaABAg,"eso es para que salga de USA por su propio pie 
que se auto deporten",eso es para que salga de usa por su propio pie que se auto deporten,salir usar propio pie auto deportar,0,0,0,0,6
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,Imagine if they had to walk back home.,imagine if they had to walk back home,imaginar they had walk back home,0,0,0,0,6
Ugw2014OIYf336oytFt4AaABAg,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,bueno investigacion hand purple blue peace hand purple blue peace hand purple blue peace,0,0,0,0,14
Ugw2bSVOoNn2pc8ZcUl4AaABAg,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",lleven su lonchera sacrifiquense un poco y reintevren ese dinero o están robando,llevar lonchera sacrificar reintevren dinero robar,0,0,0,0,6
Ugw3gnUvLp6AqO0_odt4AaABAg,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,viva guatemala,vivar guatemala,0,0,0,1,2
Ugw4C1ijI36l6LAiSZh4AaABAg,LADRONES !!!!,ladrones,ladron,0,0,0,0,1
Ugw4St_YnT9_Ya5xSPt4AaABAg,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",otro pequeño truco es que tenés un plan mensual de gb y redes ilimitadas y luego te mandan mensaje que consumiste el de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes con un mínimo de internet y por ende hay que hacer una recarga adicional porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya a recargar un negoció redondo para ambas empresas,pequeño truco plan mensual red ilimitado luego mandar mensaje consumir plan venir caos verificar consumo dato utilizar red minimo internet ende recarga adicional averiguar consumir dato recargar negociar redondo ambos empresa,0,0,0,1,31
Ugw4ccnmIWJaE6VNRWN4AaABAg,Que bien que cambio de nombre,que bien que cambio de nombre,cambio nombre,0,0,0,0,2
